name1,birth1,death1,total_pageviews1,name2,birth2,death2,total_pageviews2,prompt,similar_names1,similar_names2
Maria Monaci Gallenga,1880,1944,1324,Proclus of Constantinople,390,446,5548,Tell me about the famous meeting between Maria Monaci Gallenga and Proclus of Constantinople.,"['Carine Roitfeld', 'Anna Wintour', 'Edward Enninful', 'Emmanuelle Alt', 'Grace Coddington']","['Plotinus', 'Porphyry', 'Aristotle', ' Iamblichus', 'Plato']"
Paulo Schroeber,1973,2014,3015,Proclus of Constantinople,390,446,5548,Tell me about the famous meeting between Paulo Schroeber and Proclus of Constantinople.,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Plotinus', 'Porphyry', 'Aristotle', ' Iamblichus', 'Plato']"
Ingmar Bergman,1918,2007,848953,David Jones (barrister),1765,1816,1127,Tell me about the famous meeting between Ingmar Bergman and David Jones (barrister).,"['Martin Scorsese', 'Francis Ford Coppola', 'Jean-Luc Godard']","['Cherie Blair QC', 'Geoffrey Robertson QC', 'David Jones', 'Michael Mansfield QC', 'Amal Clooney', 'Fiona Barton']"
John Logie Baird,1888,1946,279299,David Jones (barrister),1765,1816,1127,Tell me about the famous meeting between John Logie Baird and David Jones (barrister).,"['Wilbur Wright', 'Guglielmo Marconi', 'John Logie', 'Orville', 'Alexander Graham Bell']","['Cherie Blair QC', 'Geoffrey Robertson QC', 'David Jones', 'Michael Mansfield QC', 'Amal Clooney', 'Fiona Barton']"
Richard William Allen,1867,1955,852,David Jones (barrister),1765,1816,1127,Tell me about the famous meeting between Richard William Allen and David Jones (barrister).,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']","['Cherie Blair QC', 'Geoffrey Robertson QC', 'David Jones', 'Michael Mansfield QC', 'Amal Clooney', 'Fiona Barton']"
Robert H. Miller (jurist),1919,2009,808,David Jones (barrister),1765,1816,1127,Tell me about the famous meeting between Robert H. Miller (jurist) and David Jones (barrister).,"['Robert H. Miller', 'Clarence Thomas', 'Sonia Sotomayor', 'John Roberts', 'Ruth Bader Ginsburg', 'Samuel Alito']","['Cherie Blair QC', 'Geoffrey Robertson QC', 'David Jones', 'Michael Mansfield QC', 'Amal Clooney', 'Fiona Barton']"
Sarah Winchester,1839,1922,421888,David Jones (barrister),1765,1816,1127,Tell me about the famous meeting between Sarah Winchester and David Jones (barrister).,"['John Browning', 'William Wirt Winchester', 'Samuel Colt', 'Christopher Spencer', 'Oliver Fisher Winchester']","['Cherie Blair QC', 'Geoffrey Robertson QC', 'David Jones', 'Michael Mansfield QC', 'Amal Clooney', 'Fiona Barton']"
Giacomo Laderchi,1678,1738,611,David Jones (barrister),1765,1816,1127,Tell me about the famous meeting between Giacomo Laderchi and David Jones (barrister).,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Jeff Bezos', 'Bill Gates']","['Cherie Blair QC', 'Geoffrey Robertson QC', 'David Jones', 'Michael Mansfield QC', 'Amal Clooney', 'Fiona Barton']"
Myer Nussbaum,1855,1952,766,David Jones (barrister),1765,1816,1127,Tell me about the famous meeting between Myer Nussbaum and David Jones (barrister).,"['Noam Chomsky', 'Christopher Hitchens', 'Sam Harris', 'Daniel Dennett', 'Richard Dawkins']","['Cherie Blair QC', 'Geoffrey Robertson QC', 'David Jones', 'Michael Mansfield QC', 'Amal Clooney', 'Fiona Barton']"
Margareta CederschiÃ¶ld,1879,1962,1,David Jones (barrister),1765,1816,1127,Tell me about the famous meeting between Margareta CederschiÃ¶ld and David Jones (barrister).,"['Gloria Steinem', 'Angela Davis', 'Chimamanda Ngozi Adichie', 'Malala Yousafzai', 'Oprah Winfrey']","['Cherie Blair QC', 'Geoffrey Robertson QC', 'David Jones', 'Michael Mansfield QC', 'Amal Clooney', 'Fiona Barton']"
Ingmar Bergman,1918,2007,848953,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Ingmar Bergman and Rudolf I of Germany.,"['Martin Scorsese', 'Francis Ford Coppola', 'Jean-Luc Godard']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Nicolas de la Salle,1655,1710,726,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Nicolas de la Salle and Rudolf I of Germany.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Jeff Bezos', 'Bill Gates']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Marie Curie,1867,1934,4770709,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Marie Curie and Rudolf I of Germany.,"['Ernest Rutherford', 'Werner Heisenberg', 'Niels Bohr']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Marie Curie,1867,1934,4770709,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Marie Curie and Rudolf I of Germany.,"['Ernest Rutherford', 'Werner Heisenberg', 'Niels Bohr']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Virginia Woolf,1882,1941,1639213,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Virginia Woolf and Rudolf I of Germany.,"['James Joyce', 'William Faulkner', 'F. Scott Fitzgerald']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Orson Squire Fowler,1809,1887,8481,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Orson Squire Fowler and Rudolf I of Germany.,"['William James\n2', 'John Dewey', 'B.F. Skinner']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Abdul Sattar Edhi,1928,2016,180024,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Abdul Sattar Edhi and Rudolf I of Germany.,"['Benazir Bhutto', 'Fatima Jinnah', 'Malala Yousafzai', 'Imran Khan', 'Nawaz Sharif']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Richard of Hauteville,1045,1110,1732,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Richard of Hauteville and Rudolf I of Germany.,"['Roger II', 'Robert Guiscard', 'William Iron Arm']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Sigmund Freud,1856,1939,3174908,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Sigmund Freud and Rudolf I of Germany.,"['Erich Fromm', 'Carl Jung\n', 'Viktor Frankl', 'Melanie Klein', 'Alfred Adler']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Fred Kingston,1855,1933,647,Rudolf I of Germany,1218,1291,74126,Tell me about the famous meeting between Fred Kingston and Rudolf I of Germany.,"['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']","['Otto I\n', 'Louis IV', 'Henry IV\n', 'Frederick', 'Rudolf I']"
Benjamin Lee Whorf,1897,1941,46832,Louis Pinton,1948,2016,697,Tell me about the famous meeting between Benjamin Lee Whorf and Louis Pinton.,"['John Searle', 'William Croft', 'Michael Tomasello', 'Noam Chomsky']","['Mark Zuckerberg', 'Elon Musk\n', 'Tim Cook', 'Jeff Bezos', 'Bill Gates']"
Marie Curie,1867,1934,4770709,Louis Pinton,1948,2016,697,Tell me about the famous meeting between Marie Curie and Louis Pinton.,"['Ernest Rutherford', 'Werner Heisenberg', 'Niels Bohr']","['Mark Zuckerberg', 'Elon Musk\n', 'Tim Cook', 'Jeff Bezos', 'Bill Gates']"
John Logie Baird,1888,1946,279299,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between John Logie Baird and Samuel A. McCoskry.,"['Wilbur Wright', 'Guglielmo Marconi', 'John Logie', 'Orville', 'Alexander Graham Bell']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Desmond Tutu,1931,2021,673594,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between Desmond Tutu and Samuel A. McCoskry.,"['Dalai Lama', 'Francis']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Teddy Millington-Drake,1932,1994,5124,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between Teddy Millington-Drake and Samuel A. McCoskry.,"['John Smith', 'Bob Johnson', 'Samantha Brown', 'Michael Davis']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
George Orwell,1903,1950,2265119,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between George Orwell and Samuel A. McCoskry.,"['H.G. Wells', 'Huxley', 'Christopher Isherwood']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Altymyrat OrazdurdyÃ½ew,1969,1997,1,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between Altymyrat OrazdurdyÃ½ew and Samuel A. McCoskry.,"['Eje\n', 'Annaguly Hojagulyyev', 'Amanmyrat Hommadov', 'Yazkuliyev\n ']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Joan Robinson,1903,1983,65350,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between Joan Robinson and Samuel A. McCoskry.,"['Leon Walras', 'Carl Menger\n', 'Eugen von Böhm-Bawerk']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Sukhan Babayev,1910,1995,1628,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between Sukhan Babayev and Samuel A. McCoskry.,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Jimi Hendrix,1942,1970,3520686,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between Jimi Hendrix and Samuel A. McCoskry.,"['Jeff Beck', 'Eric Clapton', 'Stevie Ray Vaughan', 'B.B. King', 'Jimmy Page']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
"Francis II, Duke of Saxe-Lauenburg",1547,1619,3954,Samuel A. McCoskry,1804,1886,810,"Tell me about the famous meeting between Francis II, Duke of Saxe-Lauenburg and Samuel A. McCoskry.","['Frederick III', 'Francis II', 'Rudolf II', 'Charles V']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Paul Carpenter (actor),1921,1964,18789,Samuel A. McCoskry,1804,1886,810,Tell me about the famous meeting between Paul Carpenter (actor) and Samuel A. McCoskry.,"['Leonardo DiCaprio', 'Tom Hanks', 'Emma Stone', 'Paul Carpenter', 'Meryl Streep']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Lauri Kalima,1916,2004,650,Millard Haywood,1853,1911,589,Tell me about the famous meeting between Lauri Kalima and Millard Haywood.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Pope John Paul II,1920,2005,1850158,Millard Haywood,1853,1911,589,Tell me about the famous meeting between Pope John Paul II and Millard Haywood.,"['John Paul II', 'Francis\n ', 'Benedict XVI']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Lauri Kalima,1916,2004,650,Giacomo Laderchi,1678,1738,611,Tell me about the famous meeting between Lauri Kalima and Giacomo Laderchi.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Jeff Bezos', 'Bill Gates']"
Harold King (politician),1906,1983,600,Giacomo Laderchi,1678,1738,611,Tell me about the famous meeting between Harold King (politician) and Giacomo Laderchi.,"['Harold King', 'Barack Obama', 'Joe Biden\n4', 'Nancy Pelosi', 'Mitch McConnell', 'Donald Trump']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Jeff Bezos', 'Bill Gates']"
Emiliano Zapata,1879,1919,425866,John Goodwin (preacher),1594,1665,4818,Tell me about the famous meeting between Emiliano Zapata and John Goodwin (preacher).,"['Francisco Madero', 'Victoriano Huerta']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
Virginia Woolf,1882,1941,1639213,John Goodwin (preacher),1594,1665,4818,Tell me about the famous meeting between Virginia Woolf and John Goodwin (preacher).,"['James Joyce', 'William Faulkner', 'F. Scott Fitzgerald']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
"Simon, Prince of Mukhrani",1726,1785,680,John Goodwin (preacher),1594,1665,4818,"Tell me about the famous meeting between Simon, Prince of Mukhrani and John Goodwin (preacher).","['George', 'Prince Emanuele Filiberto of Savoy', 'Prince Charles of Wales', 'Felipe VI', 'Simon']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
I. M. Pei,1917,2019,411472,John Goodwin (preacher),1594,1665,4818,Tell me about the famous meeting between I. M. Pei and John Goodwin (preacher).,"['Louis Kahn', 'Frank Lloyd Wright\n ', 'Walter Gropius', 'Mies van der Rohe\n 4']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
James Watt,1736,1819,368838,John Goodwin (preacher),1594,1665,4818,Tell me about the famous meeting between James Watt and John Goodwin (preacher).,"['Benjamin Franklin', 'Alexander Graham Bell']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
Myer Nussbaum,1855,1952,766,John Goodwin (preacher),1594,1665,4818,Tell me about the famous meeting between Myer Nussbaum and John Goodwin (preacher).,"['Noam Chomsky', 'Christopher Hitchens', 'Sam Harris', 'Daniel Dennett', 'Richard Dawkins']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
John Maynard Keynes,1883,1946,858832,John Goodwin (preacher),1594,1665,4818,Tell me about the famous meeting between John Maynard Keynes and John Goodwin (preacher).,"['Leon Walras', 'Adam Smith', 'Vilfredo Pareto', 'John Maynard', 'Alfred Marshall']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
Sydney B. Pope,1879,1955,778,John Goodwin (preacher),1594,1665,4818,Tell me about the famous meeting between Sydney B. Pope and John Goodwin (preacher).,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
Sarah Brackett,1938,1996,17213,John Goodwin (preacher),1594,1665,4818,Tell me about the famous meeting between Sarah Brackett and John Goodwin (preacher).,"['Oprah Winfrey', 'Phil', 'Ellen DeGeneres', 'Tony Robbins']","['Charles Stanley', 'Rick Warren', 'Joel Osteen', 'John Goodwin', 'Joyce Meyer']"
Emiliano Zapata,1879,1919,425866,Jean Jacques Nicolas Huot,1790,1845,548,Tell me about the famous meeting between Emiliano Zapata and Jean Jacques Nicolas Huot.,"['Francisco Madero', 'Victoriano Huerta']","['Brian Cox', 'Neil']"
Desmond Tutu,1931,2021,673594,Jean Jacques Nicolas Huot,1790,1845,548,Tell me about the famous meeting between Desmond Tutu and Jean Jacques Nicolas Huot.,"['Dalai Lama', 'Francis']","['Brian Cox', 'Neil']"
Carl Rogers,1902,1987,313887,Jean Jacques Nicolas Huot,1790,1845,548,Tell me about the famous meeting between Carl Rogers and Jean Jacques Nicolas Huot.,"['Albert Ellis', 'Abraham Maslow\n ', 'Erich Fromm\n ']","['Brian Cox', 'Neil']"
Coco Chanel,1883,1971,1441096,Jean Jacques Nicolas Huot,1790,1845,548,Tell me about the famous meeting between Coco Chanel and Jean Jacques Nicolas Huot.,"['Yves Saint Laurent', 'Pierre Balmain', 'Marc Jacobs']","['Brian Cox', 'Neil']"
Mahatma Gandhi,1869,1948,7393822,Jean Jacques Nicolas Huot,1790,1845,548,Tell me about the famous meeting between Mahatma Gandhi and Jean Jacques Nicolas Huot.,"['Dalai Lama', 'Malala Yousafzai']","['Brian Cox', 'Neil']"
Stanley Kubrick,1928,1999,2492016,Jean Jacques Nicolas Huot,1790,1845,548,Tell me about the famous meeting between Stanley Kubrick and Jean Jacques Nicolas Huot.,"['Martin Scorsese', 'George Lucas', 'Christopher Nolan', 'Steven Spielberg', 'Francis Ford Coppola']","['Brian Cox', 'Neil']"
Junior Thompson,1917,2006,1614,Jean Jacques Nicolas Huot,1790,1845,548,Tell me about the famous meeting between Junior Thompson and Jean Jacques Nicolas Huot.,"['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']","['Brian Cox', 'Neil']"
Emiliano Zapata,1879,1919,425866,George Ashby (MP),1656,1728,965,Tell me about the famous meeting between Emiliano Zapata and George Ashby (MP).,"['Francisco Madero', 'Victoriano Huerta']","['Jeremy Corbyn', 'Boris Johnson', 'George Ashby', 'Tony Blair']"
Gordon Sinclair,1916,2005,13738,George Ashby (MP),1656,1728,965,Tell me about the famous meeting between Gordon Sinclair and George Ashby (MP).,"['Ted Koppel', 'Tom Brokaw', 'Dan Rather', 'Rex Murphy', 'Peter Mansbridge']","['Jeremy Corbyn', 'Boris Johnson', 'George Ashby', 'Tony Blair']"
Rogelio Ortega,1915,1984,212,George Ashby (MP),1656,1728,965,Tell me about the famous meeting between Rogelio Ortega and George Ashby (MP).,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates', 'Ortega']","['Jeremy Corbyn', 'Boris Johnson', 'George Ashby', 'Tony Blair']"
Christian Dior,1905,1957,430232,George Ashby (MP),1656,1728,965,Tell me about the famous meeting between Christian Dior and George Ashby (MP).,"['Yves Saint Laurent', 'Marc Jacobs']","['Jeremy Corbyn', 'Boris Johnson', 'George Ashby', 'Tony Blair']"
Georges Thenault,1887,1948,7751,George Ashby (MP),1656,1728,965,Tell me about the famous meeting between Georges Thenault and George Ashby (MP).,"['Charles De Gaulle', 'Joseph Stalin', 'Adolf Hitler']","['Jeremy Corbyn', 'Boris Johnson', 'George Ashby', 'Tony Blair']"
Maya Angelou,1928,2014,1689715,Vladimir Kuzmin-Karavayev,1859,1927,784,Tell me about the famous meeting between Maya Angelou and Vladimir Kuzmin-Karavayev.,"['Alice Walker', 'Lucille Clifton', 'Zora Neale']","['Kirill Serebrennikov', 'Alexei Ratmansky\n4', 'Igor Moiseyev', 'Yuri Grigorovich']"
Ivan Hutchinson,1928,1995,3501,Vladimir Kuzmin-Karavayev,1859,1927,784,Tell me about the famous meeting between Ivan Hutchinson and Vladimir Kuzmin-Karavayev.,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Kirill Serebrennikov', 'Alexei Ratmansky\n4', 'Igor Moiseyev', 'Yuri Grigorovich']"
Maya Angelou,1928,2014,1689715,Gigar,1745,1832,3618,Tell me about the famous meeting between Maya Angelou and Gigar.,"['Alice Walker', 'Lucille Clifton', 'Zora Neale']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Raul Seixas,1945,1989,44587,Gigar,1745,1832,3618,Tell me about the famous meeting between Raul Seixas and Gigar.,"['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Ewald von Demandowsky,1906,1946,6043,Gigar,1745,1832,3618,Tell me about the famous meeting between Ewald von Demandowsky and Gigar.,"['Zbigniew Brzezinski', 'Hans-Dietrich Genscher', 'Helmut Schmidt', 'Egon Bahr', 'Henry Kissinger']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Rosa Parks,1913,2005,2445796,Gigar,1745,1832,3618,Tell me about the famous meeting between Rosa Parks and Gigar.,"['Angela Davis', 'Malcolm X\n', 'Fred Hampton']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
George Orwell,1903,1950,2265119,Gigar,1745,1832,3618,Tell me about the famous meeting between George Orwell and Gigar.,"['H.G. Wells', 'Huxley', 'Christopher Isherwood']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
"Patrick O'Brien (footballer, born 1875)",1875,1951,772,Gigar,1745,1832,3618,"Tell me about the famous meeting between Patrick OBrien (footballer, born 1875) and Gigar.","[""Patrick O'Brien"", 'Alfred Spencer', 'William Foulke', 'Frank Becton', 'John Goodall', 'John Devey']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Roy Early Blick,1899,1972,1620,Gigar,1745,1832,3618,Tell me about the famous meeting between Roy Early Blick and Gigar.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Jeff Bezos', 'Bill Gates']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Vause Raw,1921,2001,1709,Gigar,1745,1832,3618,Tell me about the famous meeting between Vause Raw and Gigar.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
John Bowlby,1907,1990,102325,Gigar,1745,1832,3618,Tell me about the famous meeting between John Bowlby and Gigar.,"['Urie Bronfenbrenner', 'Lev Vygotsky']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
James Colgate Cleveland,1920,1995,3091,Gigar,1745,1832,3618,Tell me about the famous meeting between James Colgate Cleveland and Gigar.,"['Mark Zuckerberg', 'James Colgate', 'Satya Nadella', 'Elon Musk\n', 'Jeff Bezos', 'Bill Gates']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
"Henry II, Margrave of the Nordmark",1102,1128,1443,William David Doherty,1893,1966,1117,"Tell me about the famous meeting between Henry II, Margrave of the Nordmark and William David Doherty.","['Henry II', 'Otto I', 'Henry I', 'Albert', 'Giselbert']","['John Gray', 'Joyce Brothers', 'Andrew Weil', 'Phil McGraw', 'Laura Schlessinger']"
Richard K. Call,1792,1862,7852,William David Doherty,1893,1966,1117,Tell me about the famous meeting between Richard K. Call and William David Doherty.,"['Jeff Bezos\n ', 'Mark Zuckerberg', 'Bill Gates', 'Satya Nadella']","['John Gray', 'Joyce Brothers', 'Andrew Weil', 'Phil McGraw', 'Laura Schlessinger']"
"Henry II, Margrave of the Nordmark",1102,1128,1443,Tony Hillerman,1925,2008,80430,"Tell me about the famous meeting between Henry II, Margrave of the Nordmark and Tony Hillerman.","['Henry II', 'Otto I', 'Henry I', 'Albert', 'Giselbert']","['Edgar Allan Poe', 'John Grisham', 'Agatha Christie', 'Arthur Conan Doyle', 'Sue Grafton']"
Elias Peak,1859,1916,703,Tony Hillerman,1925,2008,80430,Tell me about the famous meeting between Elias Peak and Tony Hillerman.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Richard Branson', 'Jeff Bezos']","['Edgar Allan Poe', 'John Grisham', 'Agatha Christie', 'Arthur Conan Doyle', 'Sue Grafton']"
Thomas Usborne,1840,1915,631,Tony Hillerman,1925,2008,80430,Tell me about the famous meeting between Thomas Usborne and Tony Hillerman.,"['Jeff Bezos\n ', 'Mark Zuckerberg', 'Bill Gates', 'Richard Branson']","['Edgar Allan Poe', 'John Grisham', 'Agatha Christie', 'Arthur Conan Doyle', 'Sue Grafton']"
"Henry II, Margrave of the Nordmark",1102,1128,1443,Bernard Rowe,1904,1986,611,"Tell me about the famous meeting between Henry II, Margrave of the Nordmark and Bernard Rowe.","['Henry II', 'Otto I', 'Henry I', 'Albert', 'Giselbert']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Mary Wollstonecraft,1759,1797,719809,Bernard Rowe,1904,1986,611,Tell me about the famous meeting between Mary Wollstonecraft and Bernard Rowe.,"['Thomas Paine', 'Thomas Malthus', 'William Godwin', 'Immanuel Kant']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
"Henry II, Margrave of the Nordmark",1102,1128,1443,Maria Monaci Gallenga,1880,1944,1324,"Tell me about the famous meeting between Henry II, Margrave of the Nordmark and Maria Monaci Gallenga.","['Henry II', 'Otto I', 'Henry I', 'Albert', 'Giselbert']","['Carine Roitfeld', 'Anna Wintour', 'Edward Enninful', 'Emmanuelle Alt', 'Grace Coddington']"
Tupac Shakur,1971,1996,6137134,Maria Monaci Gallenga,1880,1944,1324,Tell me about the famous meeting between Tupac Shakur and Maria Monaci Gallenga.,['Dre\n '],"['Carine Roitfeld', 'Anna Wintour', 'Edward Enninful', 'Emmanuelle Alt', 'Grace Coddington']"
"Henry II, Margrave of the Nordmark",1102,1128,1443,James Dow (footballer),1889,1972,529,"Tell me about the famous meeting between Henry II, Margrave of the Nordmark and James Dow (footballer).","['Henry II', 'Otto I', 'Henry I', 'Albert', 'Giselbert']","['Cristiano Ronaldo', 'Messi', 'James Dow', 'Robert Lewandowski']"
Orson Squire Fowler,1809,1887,8481,James Dow (footballer),1889,1972,529,Tell me about the famous meeting between Orson Squire Fowler and James Dow (footballer).,"['William James\n2', 'John Dewey', 'B.F. Skinner']","['Cristiano Ronaldo', 'Messi', 'James Dow', 'Robert Lewandowski']"
"Henry II, Margrave of the Nordmark",1102,1128,1443,"Sir Humphrey de Trafford, 2nd Baronet",1808,1886,1773,"Tell me about the famous meeting between Henry II, Margrave of the Nordmark and Sir Humphrey de Trafford, 2nd Baronet.","['Henry II', 'Otto I', 'Henry I', 'Albert', 'Giselbert']","['John Ramsden', 'Thomas Hesketh', 'Thomas de Trafford', 'Humphrey de Trafford', 'Edward Stanley', '14th Earl', 'William Palliser']"
Babe Ruth,1895,1948,2081597,"Sir Humphrey de Trafford, 2nd Baronet",1808,1886,1773,"Tell me about the famous meeting between Babe Ruth and Sir Humphrey de Trafford, 2nd Baronet.","['Joe DiMaggio', 'Hank Aaron', 'Willie Mays', 'Lou Gehrig', 'Mickey Mantle']","['John Ramsden', 'Thomas Hesketh', 'Thomas de Trafford', 'Humphrey de Trafford', 'Edward Stanley', '14th Earl', 'William Palliser']"
Alan Turing,1912,1954,3559477,"Sir Humphrey de Trafford, 2nd Baronet",1808,1886,1773,"Tell me about the famous meeting between Alan Turing and Sir Humphrey de Trafford, 2nd Baronet.","['Marvin Minsky', 'Charles Babbage', 'John McCarthy', 'Stephen Wolfram']","['John Ramsden', 'Thomas Hesketh', 'Thomas de Trafford', 'Humphrey de Trafford', 'Edward Stanley', '14th Earl', 'William Palliser']"
